i	j	affiliation
ABELES MARC	2015_ST8	LAIOS
ABENA TSOUNGI ALAIN	2013_ST16	NA
ABHERVE MICHEL	2013_ST9	U. PARIS EST MARNE LA VALLEE
ABIYAGHI MARIE NOELLE	2015_ST49	IFPO / LEBANON SUPPORT
ABOUTAHER MYRIEM	2017_ST69	IHEAL/CREDA
ACHIN CATHERINE	2009_ST6	CSU, U. PARIS 8
ACHIN CATHERINE	2011_ST30	CRESSPPA CSU, U. PARIS 8
ACHIN CATHERINE	2013_ST33	U. PARIS 12, CSU
ACHIN CATHERINE	2015_ST19	IRISSO, U. PARIS 9
ACHIN CATHERINE	2017_ST37	IRISSO, U. PARIS 9
ADDI LAHOUARI	2009_ST49	IEP LYON
ADLER YOANN	2013_ST4	TRIANGLE, U. LYON 2
ADRAOUI MOHAMED ALI	2013_ST29	NA
ADRAOUI MOHAMED ALI	2015_ST61	NA
AEBISCHER SYLVIE	2009_ST29	CERAPS, U. LILLE 2
AEBISCHER SYLVIE	2009_ST50	TRIANGLE, U. LYON / CERAPS, U. LILLE 2
AFONSO ALEXANDRE	2009_ST20	U. LAUSANNE (SUISSE)
AGRIKOLIANSKY ERIC	2009_ST8	U. PARIS 9
AGRIKOLIANSKY ERIC	2011_ST35	IRISSO, U. PARIS 9
AGRIKOLIANSKY ERIC	2015_ST2	NA
AGUILERA THOMAS	2017_ST11	CRAPE, IEP RENNES ARENES
AGUITON SARA	2017_ST8	SARA ANGELI AGUITON CNRS/CAK
AIT MYRIAM	2009_ST7	CMH, ENS PARIS / CRPS
AIT MYRIAM	2011_ST42	CED, IEP BORDEAUX
AIT MYRIAM	2015_ST47	CED, IEP BORDEAUX
AL DABAGHY CAMILLE	2015_ST59	IRIS, EHESS PARIS
AL DABAGHY CAMILLE	2017_ST9	IRIS, EHESS PARIS
AL DAHDAH MARINE	2017_ST6	U. PARIS DESCARTES
ALAM THOMAS	2009_ST20	CERAPS, U. LILLE 2
ALAM THOMAS	2011_ST20	CERAPS, U. LILLE 2
ALAM THOMAS	2011_ST23	CERAPS, U. LILLE 2
ALAM THOMAS	2013_ST57	CERAPS, U. LILLE 2
ALAM THOMAS	2015_ST48	CERAPS, U. LILLE 2
ALAPETITE CLEMENT	2017_ST44	EHESS / ENS CACHAN
ALAPETITE CLEMENT	2017_ST52	EHESS / ENS CACHAN
ALBARET MELANIE	2013_ST48	U. AUVERGNE
ALBARET MELANIE	2017_ST73	U. AUVERGNE / CENTRE MICHEL DE LHOSPITAL
ALBAUGH ERICKA	2013_ST14	BOWDOIN COLLEGE (USA)
ALBENGA VIVIANE	2013_ST5	TRIANGLE, ENS LYON
ALCARAS JEAN ROBERT	2011_ST20	CHRISTELE MARCHAND, GUILLAUME MARREL ET MAGALI NONJON U. AVIGNON ET DES PAYS DE VAUCLUSE, LABORATOIRE BIENS, NORMES, CONTRATS
ALCARAS JEAN ROBERT	2011_ST39	PATRICK GIANFALDONI, FREDERIC ROSTAING U. AVIGNON ET DES PAYS DE VAUCLUSE, LBNC
ALDRIN PHILIPPE	2009_ST18	GSPE, U. STRASBOURG
ALDRIN PHILIPPE	2011_ST35	ERMES, U. NICE
ALDRIN PHILIPPE	2011_ST49	ERMES, U. NICE
ALDRIN PHILIPPE	2013_ST37	CHERPA, IEP AIX EN PROVENCE
ALDRIN PHILIPPE	2013_ST38	CHERPA, IEP AIX EN PROVENCE
ALDRIN PHILIPPE	2015_ST19	CHERPA, IEP AIX EN PROVENCE
ALDRIN PHILIPPE	2015_STPOPACT	CHERPA, IEP AIX EN PROVENCE
ALDRIN PHILIPPE	2017_ST1	CHERPA, IEP AIX EN PROVENCE
ALDRIN PHILIPPE	2017_ST52	CHERPA, IEP AIX EN PROVENCE
ALEJANDRO AUDREY	2015_ST61	IEP BORDEAUX
ALESSANDRIN ARNAUD	2013_ST61	U. BORDEAUX / CED
ALEXANDRE AGNES	2015_ST21	COLLIER U. BOURGOGNE
ALFANDARI FRANCOIS	2015_ST14	TRIANGLE, U. LYON 2
ALFIERI VALERIA	2013_ST53	CEMAF U. PARIS 1 / PANTHEON SORBONNE UNIVERSITA DI NAPOLI LORIENTALE
ALLAIN MATHILDE	2015_ST50	CED DE LIEP BORDEAUX /CRAPE DE RENNES 1
ALLAL AMIN	2011_ST13	CHERPA, IEP AIX EN PROVENCE / IREMAM
ALLAL AMIN	2013_ST53	CHERPA, IEP AIX EN PROVENCE
ALLAL AMIN	2015_ST49	CERAPS, U. LILLE 2 / ERC WAFAW
ALLAL AMIN	2017_ST30	CERAPS, U. LILLE 2
ALLE CAMILLE	2015_ST32	SCIENCES PO LIEPP, SCIENCES PO PARIS
ALLES DELPHINE	2009_ST2	SCIENCES PO PARIS
ALLES DELPHINE	2013_ST48	ROUEN BUSINESSS SCHOO
ALLES DELPHINE	2015_ST61	U. PARIS EST CRETEIL
ALLOUCH ANNABELLE	2011_ST24	OSC, SCIENCES PO PARIS
ALLOUCH ANNABELLE	2015_ST10	CURAPP, U. PICARDIE
ALLOUCH ANNABELLE	2017_ST59	U. PICARDIE / CURAPP ESS
ALLOUCHE JEREMY	2009_ST30	FONDS NATIONAL SUISSE DE LA RECHERCHE SCIENTIFIQUE, CENTER FOR INTERNATIONAL STUDIES, U. OXFORD
ALLOUCHE JOELLE	2017_ST32	NA
ALMEIDA MEDEIROS MARCELO	2017_ST69	NA
ALPHANDERY PIERRE	2015_ST18	INRA/SAE2/SADAPT
ALTAMIRANO XAVIER	2013_ST38	CESSP, PARIS 1
ALTUN EVSEN	2017_ST29	U. DOKUZ EYLUL, IZMIR
AMADO LONTZI	2013_ST14	BORTHAYRE IEP BORDEAUX
AMADO LONTZI	2013_ST9	BORTHAYRE CED, IEP BORDEAUX
AMBROSETTI DAVID	2009_ST32	ISSP, U. PARIS 10
AMBROSETTI DAVID	2011_ST4	NA
AMBROSETTI DAVID	2013_ST54	ISSP
AMICELLE ANTHONY	2009_ST2	SCIENCES PO PARIS
AMICELLE ANTHONY	2013_ST52	PEACE RESEARCH INSTITUTE OSLO PRIO
AMIEL BASTIEN	2013_ST2	U. PARIS 10 GAP
AMIEL BASTIEN	2015_ST10	FABIEN CARRIE, JEAN BAPTISTE PARANTHOEN, CEDRIC PLONT, MATHILDE SEMPE ISP, U. PARIS 10
AMILHAT ANNE LAURE	2009_ST43	IEP GRENOBLE
AMIOTTE LAURENT	2017_ST58	SUCHET INSTITUT DE SCIENCES SOCIALES DES RELIGIONS CONTEMPORAINES, U. LAUSANNE (SUISSE)
