year,i,j,n_j,n_p,t_p,t_c,first_name,family_name,gender
2009,ACHIN CATHERINE,2009_ST6,18,1,5,5,CATHERINE,ACHIN,f
2009,ADDI LAHOUARI,2009_ST49,15,1,1,1,LAHOUARI,ADDI,m
2009,AEBISCHER SYLVIE,2009_ST29,13,2,2,1,SYLVIE,AEBISCHER,f
2009,AEBISCHER SYLVIE,2009_ST50,20,2,2,1,SYLVIE,AEBISCHER,f
2009,AFONSO ALEXANDRE,2009_ST20,25,1,1,1,ALEXANDRE,AFONSO,m
2009,AGRIKOLIANSKY ERIC,2009_ST8,13,1,4,4,ERIC,AGRIKOLIANSKY,m
2009,AIT MYRIAM,2009_ST7,18,1,3,3,MYRIAM,AIT,f
2009,ALAM THOMAS,2009_ST20,25,1,5,4,THOMAS,ALAM,m
2009,ALDRIN PHILIPPE,2009_ST18,14,1,11,5,PHILIPPE,ALDRIN,m
2009,ALLES DELPHINE,2009_ST2,10,1,3,3,DELPHINE,ALLES,f
2009,ALLOUCHE JEREMY,2009_ST30,11,1,1,1,JEREMY,ALLOUCHE,m
2009,AMBROSETTI DAVID,2009_ST32,13,1,3,3,DAVID,AMBROSETTI,m
2009,AMICELLE ANTHONY,2009_ST2,10,1,2,2,ANTHONY,AMICELLE,m
2009,AMILHAT ANNE LAURE,2009_ST43,21,1,1,1,ANNE LAURE,AMILHAT,f
2009,ANDRIAMASINORO VAKANA,2009_ST43,21,1,1,1,VAKANA,ANDRIAMASINORO,f
2009,ANQUETIN VIRGINIE,2009_ST14,36,1,2,2,VIRGINIE,ANQUETIN,f
2009,ANTICHAN SYLVAIN,2009_ST38,18,1,4,3,SYLVAIN,ANTICHAN,m
2009,ANTOINE AGNES,2009_ST51,12,1,1,1,AGNES,ANTOINE,f
2009,ANSALONI MATTHIEU,2009_ST20,25,1,3,2,MATTHIEU,ANSALONI,m
2009,ANZALONE GUILHEM,2009_ST41,24,1,1,1,GUILHEM,ANZALONE,m
2009,ARGOUNES FABRICE,2009_ST30,11,1,1,1,FABRICE,ARGOUNES,m
2009,AUBIN DAVID,2009_ST20,25,1,2,2,DAVID,AUBIN,m
2009,AUCANTE YOHANN,2009_ST23,21,1,2,2,YOHANN,AUCANTE,m
2009,AUDIKANA ANDER,2009_ST121,19,1,1,1,ANDER,AUDIKANA,m
2009,AUST JEROME,2009_ST24,14,1,2,2,JEROME,AUST,m
2009,AVANZA MARTINA,2009_ST34,16,2,5,4,MARTINA,AVANZA,f
2009,AVANZA MARTINA,2009_ST39,17,2,5,4,MARTINA,AVANZA,f
2009,AYARI MICHAEL,2009_ST49,15,1,1,1,MICHAEL,AYARI,m
2009,BACOT PAUL,2009_ST10,11,1,3,3,PAUL,BACOT,m
2009,BAEZA CECILIA,2009_ST36,11,1,2,2,CECILIA,BAEZA,f
2009,BAILLEUX JULIE,2009_ST18,14,1,2,2,JULIE,BAILLEUX,f
2009,BALLAND LUDIVINE,2009_ST29,13,1,2,2,LUDIVINE,BALLAND,f
2009,BANEGAS RICHARD,2009_ST9,12,1,2,2,RICHARD,BANEGAS,m
2009,BARBIER JEAN CLAUDE,2009_ST23,21,2,3,2,JEAN CLAUDE,BARBIER,m
2009,BARBIER JEAN CLAUDE,2009_ST28,16,2,3,2,JEAN CLAUDE,BARBIER,m
2009,BARGEL LUCIE,2009_ST6,18,2,6,4,LUCIE,BARGEL,f
2009,BARGEL LUCIE,2009_ST35,13,2,6,4,LUCIE,BARGEL,f
2009,BARROS FRANCOISE,2009_ST6,18,1,2,2,FRANCOISE,BARROS,f
2009,BASTIN GILLES,2009_ST32,13,1,1,1,GILLES,BASTIN,m
2009,BAUDEWYNS PIERRE,2009_ST5,26,2,2,1,PIERRE,BAUDEWYNS,m
2009,BAUDEWYNS PIERRE,2009_ST13,18,2,2,1,PIERRE,BAUDEWYNS,m
2009,BAUDOT PIERRE YVES,2009_ST24,14,3,7,5,YVES,BAUDOT PIERRE,m
2009,BAUDOT PIERRE YVES,2009_ST27,10,3,7,5,YVES,BAUDOT PIERRE,m
