type	i	j
err	ABENA-TSOUNGUI ALAIN	2013_ST16
add	ANGELI AGUITON SARA	2017_ST6
add	ANSALONI MATTHIEU	2015_ST15
abs	BARROS-PLATIAU ANA FLAVIA	2013_ST48
add	BEAUSSIER ANNE-LAURE	2017_ST6
add	BERARD JEAN	2013_ST33
err	BERARD YANN	2013_ST33
abs	BOZEC GERALDINE	2013_ST30
add	BRUNIER SYLVAIN	2017_ST35
err	BUSSI MICHEL	2011_ST33
add	BUSSI MICHEL	2011_ST34
err	BUTON FRANCOIS	2011_ST22
add	BUTON FRANCOIS	2011_ST23
add	CABANE LYDIE	2017_ST6
err	CARTER CAITRIONA	2009_ST122
add	CARTER CAITRIONA	2009_ST11
abs	CHAPPE VINCENT-ARNAUD	2017_ST28
add	CHARILLON FREDERIC	2009_ST2
abs	CHARPENTIER ISABELLE	2015_ST1
abs	CHARPENTIER ISABELLE	2015_ST52
err	CHRISTIAN PIERRE	2009_ST7
add	COMBES HELENE	2009_ST7
abs	COS RAFAEL	2011_ST31
add	COSTA OLIVIER	2009_ST1
add	DAVIAUD SOPHIE	2015_ST50
err	DEHOUSSE RENAUD	2015_ST2
add	DEHOUSSE RENAUD	2015_ST29
abs	DELPIERRE ALIZEE	2015_ST7
err	DIAZ PABLO	2015_ST52
add	DIAZ PAOLA	2015_ST52
abs	DUCANGE JEAN	2011_ST46
abs	ELOIRE FABIEN	2017_ST35
add	FERTIKH KARIM	2011_ST32
abs	FOUILLEUX EVE	2009_ST28
add	FRETEL JULIEN	2009_ST7
add	FRETEL JULIEN	2011_ST32
abs	GIUSTOZZI ANTONIO	2011_ST6
add	HESS GERALD	2017_ST76
add	HOEFFLER CATHERINE	2009_ST21
add	JAULIN THIBAUT	2017_ST41
add	JOANA JEAN	2009_ST21
add	JOUHANNEAU CECILE	2013_ST43
abs	KRIGER NORMA	2011_ST6
add	LEJEUNE CAROLINE	2017_ST76
abs	MASSICARD ELISE	2017_ST65
abs	MATIGNON EMILIE	2015_ST52
abs	MENEBOODE VICTOR	2013_ST24
abs	MERRILL ROBERTO	2013_ST63
err	MORENA EDOUARD	2013_ST44
add	MORENA EDOUARD	2013_ST45
abs	NAVARRO TANIA	2017_ST29
abs	NDOUR MARAME	2013_ST50
add	NEUMAYER LAURE	2013_ST43
abs	OESER ALEXANDRA	2013_ST30
abs	OLIVIER LAURENT	2013_ST31
abs	OLLION ETIENNE	2015_ST7
abs	PARANTHOEN JEAN-BAPTISTE	2013_ST2
err	PINGAUD ETIENNE	2015_ST1
add	PINGAUD ETIENNE	2015_ST11
add	POSTEL-VINAY KAROLINE	2009_ST2
abs	RENOU GILDAS	2009_ST50
abs	REUNGOAT EMMANUELLE	2017_ST65
abs	RIBEIRO RAQUEL	2015_ST52
abs	ROZENBERG OLIVIER	2015_ST8
abs	RUAUD JULIETTE	2015_ST3
err	SMITH ANDY	2009_ST22
add	SMITH ANDY	2009_ST20
err	TOURRAILLE FANNY	2013_ST24
add	VIALLET-THEVENIN SCOTT	2017_ST35
abs	WENDLING CECILE	2011_ST3
abs	ZOLLMANN JAKOB	2015_ST52
