role	i	j	affiliation
p	ABDELNOUR SARAH	2019_ST33	IRISSO, U. PARIS 9
p	ABDENUR ADRIANA	2019_ST38	INSTITUTO IGARAPE / NAVAL WAR COLLEGE
p	ABELES MARC	2015_ST8	IIAC-LAIOS, EHESS PARIS
p	ABENA-TSOUNGUI ALAIN	2013_ST15	CSO, SCIENCES PO PARIS / CHAIRE SANTE, SCIENCES PO PARIS
p	ABHERVE MICHEL	2013_ST9	U. PARIS EST MARNE LA VALLEE
p	ABIYAGHI MARIE-NOELLE	2015_ST49	IFPO BEYROUTH (LIBAN) / [LEBANON SUPPORT (LIBAN)]
p	ABOUTAHER MYRIEM	2017_ST69	IHEAL-CREDA, U. PARIS 3
p	ABOUTAHER MYRIEM	2019_ST70	IHEAL-CREDA, U. PARIS 3
o	ACHIN CATHERINE	2009_ST6	CRESPPA-CSU, U. PARIS 8
p	ACHIN CATHERINE	2011_ST30	CRESPPA-CSU, U. PARIS 8
d	ACHIN CATHERINE	2013_ST33	U. PARIS 12 / CSU, U. PARIS 8
p	ACHIN CATHERINE	2015_ST19	IRISSO, U. PARIS 9
d	ACHIN CATHERINE	2017_ST37	IRISSO, U. PARIS 9
p	ACHIN CATHERINE	2019_ST78	UNIVERSITE PARIS DAUPHINE
p	ADDI LAHOUARI	2009_ST49	IEP LYON
p	ADIPUTRI RATIH	2019_ST78	ADIPUTRI UNIVERSITY OF JYVASKYLA
p	ADLER YOANN	2013_ST4	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	ADRAOUI MOHAMED-ALI	2013_ST29	CERI, SCIENCES PO PARIS / PACTE, IEP GRENOBLE / EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
p	ADRAOUI MOHAMED-ALI	2015_ST61	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
p	AEBISCHER SYLVIE	2009_ST29	TRIANGLE, ENS-IEP LYON & U. LYON 2 / CERAPS, U. LILLE 2
p	AEBISCHER SYLVIE	2009_ST50	TRIANGLE, ENS-IEP LYON & U. LYON 2 / CERAPS, U. LILLE 2
p	AFONSO ALEXANDRE	2009_ST20	U. LAUSANNE (SUISSE)
o	AGRIKOLIANSKY ERIC	2009_ST8	IRISSO, U. PARIS 9
p	AGRIKOLIANSKY ERIC	2011_ST35	IRISSO, U. PARIS 9
p	AGRIKOLIANSKY ERIC	2015_ST2	IRISSO, U. PARIS 9
p	AGUILERA THOMAS	2017_ST11	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
o	AGUILERA THOMAS	2019_ST01	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
p	AHNICH MYRIAM	2019_ST08	ISP UMR 7220 CNRS ENS, PARIS SACLAY / PARIS NANTERRE UNIVERSITE
p	AHOUPE CORINE	2019_ST23	UNIVERSITE DE YAOUNDE II SOA
p	AIGLE MAUD	2019_ST65	CED, UNIVERSITE DE BORDEAUX
p	AIT-AOUDIA MYRIAM	2009_ST7	CMH, EHESS PARIS & ENS PARIS / CESSP-CRPS, U. PARIS 1
p	AIT-AOUDIA MYRIAM	2011_ST42	SPIRIT-CED, IEP-U. BORDEAUX
o	AIT-AOUDIA MYRIAM	2015_ST47	SPIRIT-CED, IEP-U. BORDEAUX
o	AIT-AOUDIA MYRIAM	2019_STGADEMOCRATIESETAUTORITARISMES	SPIRIT-CED, IEP-U. BORDEAUX
p	AKOKA KAREN	2019_ST85	UNIVERSITE PARIS NANTERRE, INSTITUT DES SCIENCES SOCIALES DU POLITIQUE ISP
p	AL DABAGHY CAMILLE	2015_ST59	IRIS, EHESS PARIS & INSERM & U. PARIS 13
p	AL DABAGHY CAMILLE	2017_ST9	IRIS, EHESS PARIS & INSERM & U. PARIS 13
p	AL DABAGHY CAMILLE	2019_ST39	EHESS, CNE
p	AL DAHDAH MARINE	2017_ST6	U. PARIS 5
p	ALAIN MARC	2019_ST65	PSYCHOEDUCATION, U. QUEBEC TROIS RIVIERES (CANADA)
p	ALAM THOMAS	2009_ST20	CERAPS, U. LILLE 2
p	ALAM THOMAS	2011_ST20	CERAPS, U. LILLE 2
p	ALAM THOMAS	2011_ST23	CERAPS, U. LILLE 2
p	ALAM THOMAS	2013_ST57	CERAPS, U. LILLE 2
o	ALAM THOMAS	2015_ST48	CERAPS, U. LILLE 2
p	ALAPETITE CLEMENT	2017_ST44	EHESS PARIS / ENS CACHAN
p	ALAPETITE CLEMENT	2017_ST52	EHESS PARIS / ENS CACHAN
p	ALAUZEN MARIE	2019_ST16	TELECOM PARISTECH SES
o	ALAYRAC PIERRE	2019_ST52	EHESS
o	ALBARET MELANIE	2013_ST48	U. AUVERGNE
